+-----------------------------------+----------------+
|               name                | LENGTH(p.name) |
| Abdallah Amrani                   | 15             |
| Abdelaziz Meherzi                 | 17             |
| Abdellah Didane                   | 15             |
| Abdelmonem Chouayet               | 19             |
| Abderrazak El Badaoui             | 21             |
| Abdessamed Miftah El Kheir        | 26             |
| Abdou El Mesnaoui                 | 17             |
| Abdoul Karim Déné                 | 17             |
| Abdul Ghani                       | 11             |
| Abdul Kader                       | 11             |
| Abdullah Al-Salman                | 18             |
| Abdullah Mishref                  | 16             |
| Abdulrahman Al-Aqel               | 19             |
| Abed Asghool                      | 12             |
| Abel Divol                        | 10             |
| Abel Folk                         | 9              |
| Abel Folk                         | 9              |
| Abel Folk                         | 9              |
| Abhay Bhargava                    | 14             |
| Abhay Bhargava                    | 14             |
| Abhinay Kinger                    | 14             |
| Abhinaya Krishna                  | 16             |
| Abhinayashree                     | 13             |
| Abhinayasri                       | 11             |
| Abhinayasri                       | 11             |
| Abhinayasri                       | 11             |
| Abhirami                          | 8              |
| Abhirami                          | 8              |
| Abhishek Bachchan                 | 17             |
| Abhishek Bachchan                 | 17             |
| Abhishek Bachchan                 | 17             |
| Abhishek Bachchan                 | 17             |
| Abhishek Bachchan                 | 17             |
| Abhishek Chatterjee               | 19             |
| Abhishek Chatterjee               | 19             |
| Abhishek Chatterjee               | 19             |
| Abhishek Gosh                     | 13             |
| Abhitabh Chandra                  | 16             |
| Abid Ashiqali                     | 13             |
| Abigail Breslin                   | 15             |
| Abla Kamel                        | 10             |
| Abner Miranda                     | 13             |
| Abolfazl Ghorbani                 | 17             |
| Aboozar Javanmard                 | 17             |
| Aboubacar Sadikh Ba               | 19             |
| Abraham White                     | 13             |
| Abu Bakar Omar                    | 14             |
| Abu Basem                         | 9              |
| Abul Hayat                        | 10             |
| Aby Kunjumon                      | 12             |
| Achala Alles                      | 12             |
| Achim Bergmann                    | 14             |
| Achita Sikamana                   | 15             |
| Ada Choi                          | 8              |
| Ada Rogovtseva                    | 14             |
| Ada Rogovtseva                    | 14             |
| Adair Palácio                     | 13             |
| Adam Amundsen                     | 13             |
| Adam Arkin                        | 10             |
| Adam Aronson                      | 12             |
| Adam Baldwin                      | 12             |
| Adam Baldwin                      | 12             |
| Adam Baroni                       | 11             |
| Adam Beach                        | 10             |
| Adam Bennett                      | 12             |
| Adam Brouillard                   | 15             |
| Adam Brummitt                     | 13             |
| Adam Butcher                      | 12             |
| Adam C. Edwards                   | 15             |
| Adam Cardon                       | 11             |
| Adam Chew                         | 9              |
| Adam Conlon                       | 11             |
| Adam Donshik                      | 12             |
| Adam Faybrem                      | 12             |
| Adam Garcia                       | 11             |
| Adam Garcia                       | 11             |
| Adam Garcia                       | 11             |
| Adam Ghazi                        | 10             |
| Adam Greer                        | 10             |
| Adam Jacobs                       | 11             |
| Adam Kotz                         | 9              |
| Adam Lacey                        | 10             |
| Adam Long                         | 9              |
| Adam Meredith                     | 13             |
| Adam Pascal                       | 11             |
| Adam Pope                         | 9              |
| Adam Sandler                      | 12             |
| Adam Sandler                      | 12             |
| Adam Scott                        | 10             |
| Adam Seth Nelson                  | 16             |
| Adam Simon                        | 10             |
| Adam Stivín                       | 11             |
| Adam Trese                        | 10             |
| Adam Vanderwielen                 | 17             |
| Adam Webster                      | 12             |
| Adam West                         | 9              |
| Adam Western                      | 12             |
| Adama Doumbia                     | 13             |
| Adama Koné                        | 10             |
| Adama Ouédraogo                   | 15             |
| Adams Anusa                       | 11             |
| Adams Nate                        | 10             |
| Adan de Anda                      | 12             |
| Adel Al-Far                       | 11             |
| Adel Emam                         | 9              |
| Adela Gáborová                    | 14             |
| Adela Mojzísová                   | 15             |
| Adela Secall                      | 12             |
| Adele Castiglioni                 | 17             |
| Adele Jacques                     | 13             |
| Adelina Bielopolsky               | 19             |
| Adeline Peter Raboff              | 20             |
| Adil Ashiqali                     | 13             |
| Adil Hussain                      | 12             |
| Adilson Corrêa                    | 14             |
| Aditi Agarwal                     | 13             |
| Aditi Agarwal                     | 13             |
| Aditi Bhagwat                     | 13             |
| Aditya                            | 6              |
| Aditya                            | 6              |
| Aditya Om                         | 9              |
| Aditya Om                         | 9              |
| Aditya Om                         | 9              |
| Aditya Pancholi                   | 15             |
| Aditya Srivastav                  | 16             |
| Aditya Srivastav                  | 16             |
| Adji Adj Diallo                   | 15             |
| Adlin Aman Ramlee                 | 17             |
| Adlin Aman Ramlee                 | 17             |
| Adman Salleh                      | 12             |
| Admir Glamocak                    | 14             |
| Adnan Omerovic                    | 14             |
| Adolfo Fernández                  | 16             |
| Adolfo Fernández                  | 16             |
| Adolfo Yanelli                    | 14             |
| Adriaan Adriaanse                 | 17             |
| Adrian Almaraz                    | 14             |
| Adrian Auld                       | 11             |
| Adrian Kaca                       | 11             |
| Adrian Martinez                   | 15             |
| Adrian Smith                      | 12             |
| Adrian Tiatto                     | 13             |
| Adriana Aizemberg                 | 17             |
| Adriana Butoi                     | 13             |
| Adriana Davidova                  | 16             |
| Adriana Davidova                  | 16             |
| Adriana Fonseca                   | 15             |
| Adriana Fricke                    | 14             |
| Adriana Karembeu                  | 16             |
| Adriana Kozub                     | 13             |
| Adriana Ozores                    | 14             |
| Adriana Pérez                     | 13             |
| Adrianna Weryk                    | 14             |
| Adriano Aprà                      | 12             |
| Adriano Cuneo                     | 13             |
| Adriano Giannini                  | 16             |
| Adriano Giannini                  | 16             |
| Adriano Giannini                  | 16             |
| Adriano González                  | 16             |
| Adriano Luz                       | 11             |
| Adrien Jolivet                    | 14             |
| Adrien Michaux                    | 14             |
| Adrien Michaux                    | 14             |
| Adrienne Alexandra                | 18             |
| Adrienne Dempsey                  | 16             |
| Adrienne Fairley                  | 16             |
| Adriohn Richardson                | 18             |
| Adriz Jacob                       | 11             |
| Adrián Airala                     | 13             |
| Adrián Brunetti                   | 15             |
| Adrián Goldberger                 | 17             |
| Adrián Navarro                    | 14             |
| Adrián Suárez                     | 13             |
| Adul Dulyarat                     | 13             |
| Ady Topol                         | 9              |
| Adán Cesarini                     | 13             |
| Aedy Ashraf                       | 11             |
| Afdlin Shauki                     | 13             |
| Afdlin Shauki                     | 13             |
| Afdlin Shauki                     | 13             |
| Afrim Kasapolli                   | 15             |
| Afrob                             | 5              |
| Afroman                           | 7              |
| Afsan                             | 5              |
| Afsaneh Naseri                    | 14             |
| Afsoon Afshar                     | 13             |
| Aftab Shivdasani                  | 16             |
| Aftab Shivdasani                  | 16             |
| Aftab Shivdasani                  | 16             |
| Aftab Shivdasani                  | 16             |
| Aga Muhlach                       | 11             |
| Agapi Manoura                     | 13             |
| Agata Gotova                      | 12             |
| Agata Kulesza                     | 13             |
| Agheleh Rezaie                    | 14             |
| Aglaia Pappa                      | 12             |
| Agnes Bruckner                    | 14             |
| Agnes Bruckner                    | 14             |
| Agnes De Nul                      | 12             |
| Agnese Nano                       | 11             |
| Agneta Ulfsäter-Troell            | 22             |
| Agni P. Arkadewi                  | 16             |
| Agnieszka Dobrowolska-Borowiec    | 30             |
| Agnieszka Grochowska              | 20             |
| Agnès Bertrand                    | 14             |
| Agnès Jaoui                       | 11             |
| Agnès Jaoui                       | 11             |
| Agnès Roland                      | 12             |
| Agnès Soral                       | 11             |
| Agnès Soral                       | 11             |
| Agop Agopian                      | 12             |
| Agro Chikkanna                    | 14             |
| Aguibou Sanou                     | 13             |
| Agustí Villaronga                 | 17             |
| Agustín Bernal                    | 14             |
| Agy Fodor                         | 9              |
| Ah Dun                            | 6              |
| Ah-hyeon Na                       | 11             |
| Aharon Appelfeld                  | 16             |
| Aharon Appelfeld                  | 16             |
| Ahmad                             | 5              |
| Ahmad Abdullah                    | 14             |
| Ahmad Adam                        | 10             |
| Ahmad Al-Salman                   | 15             |
| Ahmad Butt                        | 10             |
| Ahmad Idham                       | 11             |
| Ahmad Najafi                      | 12             |
| Ahmad Najafi                      | 12             |
| Ahmad Riaz                        | 10             |
| Ahmed Akl                         | 9              |
| Ahmed Best                        | 10             |
| Ahmed Boulane                     | 13             |
| Ahmed El Sakka                    | 14             |
| Ahmed El-Saadany                  | 16             |
| Ahmed Ezz                         | 9              |
| Ahmed Ezz                         | 9              |
| Ahmed Ezz                         | 9              |
| Ahmed Haroun                      | 12             |
| Ahmed Helmy                       | 11             |
| Ahmed Rashwan                     | 13             |
| Ahmed Rubel                       | 11             |
| Ahmed Snoussi                     | 13             |
| Ahmed Yehia                       | 11             |
| Ahmet Mümtaz Taylan               | 19             |
| Ahn Suk-hwan                      | 12             |
| Ahn Sung-ki                       | 11             |
| Ahna O'Reilly                     | 13             |
| Ahsaas Channa                     | 13             |
| Ahti Kuoppala                     | 13             |
| Ai Katô                           | 7              |
| Ai Kobayashi                      | 12             |
| Ai Maeda                          | 8              |
| AiAi Delas Alas                   | 15             |
| Aida Abdel Aziz                   | 15             |
| Aida Angotti                      | 12             |
| Aida Angotti                      | 12             |
| Aidan Black                       | 11             |
| Aidan Quinn                       | 11             |
| Aidan Quinn                       | 11             |
| Aidan Quinn                       | 11             |
| Aiden Flynn                       | 11             |
| Aidée González                    | 14             |
| Aika Mimori                       | 11             |
| Ailton Graça                      | 12             |
| Aimee Baruah                      | 12             |
| Aimee Bravo                       | 11             |
| Aimee Bravo                       | 11             |
| Aimee Parker                      | 12             |
| Aimi Nakamura                     | 13             |
| Aimi Nakamura                     | 13             |
| Aimi Nakamura                     | 13             |
| Aimé Anthoni                      | 12             |
| Aimé Kanoui                       | 11             |
| Aina Clotet                       | 11             |
| Airone                            | 6              |
| Aisha Ibrahim Maiga               | 19             |
| Aisha Melendrez                   | 15             |
| Aishwariyaa Bhaskaran             | 21             |
| Aishwariyaa Bhaskaran             | 21             |
| Aishwariyaa Bhaskaran             | 21             |
| Aishwarya Narkar                  | 16             |
| Aishwarya Narkar                  | 16             |
| Aishwarya Rai Bachchan            | 22             |
| Aishwarya Rai Bachchan            | 22             |
| Aishwarya Rai Bachchan            | 22             |
| Aishwarya Rai Bachchan            | 22             |
| Aitana Sánchez-Gijón              | 20             |
| Aitana Sánchez-Gijón              | 20             |
| Aivar Voitka                      | 12             |
| Aja                               | 3              |
| Ajay Devgn                        | 10             |
| Ajay Devgn                        | 10             |
| Ajay Devgn                        | 10             |
| Ajay Devgn                        | 10             |
| Ajay Devgn                        | 10             |
| Ajay Raj                          | 8              |
| Ajay Thomas                       | 11             |
| Ajdar Hamidov                     | 13             |
| Ajedrez Celedonio                 | 17             |
| Ajihei                            | 6              |
| Ajinkya Deo                       | 11             |
| Ajith Kumar                       | 11             |
| Ajith Kumar                       | 11             |
| Ajmal                             | 5              |
| Akaji Maro                        | 10             |
| Akane Imazeki                     | 13             |
| Akane Kimura                      | 12             |
| Akane Kurosawa                    | 14             |
| Akane Yazaki                      | 12             |
| Akanksha Malhotra                 | 17             |
| Akansha                           | 7              |
| Akashi Takei                      | 12             |
| Akashi Takei                      | 12             |
| Akbar                             | 5              |
| Akebi Futsumoto                   | 15             |
| Akekaphan Bunluerit               | 19             |
| Akekaphan Bunluerit               | 19             |
| Akhdiyat Duta Modjo               | 19             |
| Akhila                            | 6              |
| Aki Aleong                        | 10             |
| Aki Hoshino                       | 11             |
| Aki Kajiwara                      | 12             |
| Aki Kajiwara                      | 12             |
| Aki Kajiwara                      | 12             |
| Aki Ra                            | 6              |
| Aki Suzuki                        | 10             |
| Akifumi Miura                     | 13             |
| Akihiro Kitamura                  | 16             |
| Akihiro Miwa                      | 12             |
| Akiho Yoshizawa                   | 15             |
| Akiho Yoshizawa                   | 15             |
| Akiko Aitsuki                     | 13             |
| Akiko Fukuda                      | 12             |
| Akiko Hinagata                    | 14             |
| Akiko Ishigaki                    | 14             |
| Akiko Kotei                       | 11             |
| Akiko Nagoshi                     | 13             |
| Akiko Tanaka                      | 12             |
| Akiko Yajima                      | 12             |
| Akiko Yajima                      | 12             |
| Akio Chen                         | 9              |
| Akio Kaneda                       | 11             |
| Akio Ôtsuka                       | 11             |
| Akira Emoto                       | 11             |
| Akira Emoto                       | 11             |
| Akira Emoto                       | 11             |
| Akira Emoto                       | 11             |
| Akira Fukuhara                    | 14             |
| Akira Fukuhara                    | 14             |
| Akira Hamada                      | 12             |
| Akira Kamiya                      | 12             |
| Akira Kubo                        | 10             |
| Akira Nogami                      | 12             |
| Akira Terao                       | 11             |
| Akira Terao                       | 11             |
| Akira Yamamoto                    | 14             |
| Akito Hamamura                    | 14             |
| Akiva Daum                        | 10             |
| Akiyoshi Shibata                  | 16             |
| Akrita Srivastava                 | 17             |
| Aksel Hennie                      | 12             |
| Aksel Leth                        | 10             |
| Aksel Støren Aschjem              | 20             |
| Akshay Anand                      | 12             |
| Akshay Datt                       | 11             |
| Akshay Kapoor                     | 13             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshay Kumar                      | 12             |
| Akshaye Khanna                    | 14             |
| Akshaye Khanna                    | 14             |
| Akéla Sagna                       | 11             |
| Al Baker                          | 8              |
| Al Barr                           | 7              |
| Al Brown                          | 8              |
| Al Domeyko                        | 10             |
| Al Franken                        | 10             |
| Al Gerschutz                      | 12             |
| Al Goldstein                      | 12             |
| Al Lewis                          | 8              |
| Al Mele                           | 7              |
| Al Pacino                         | 9              |
| Al Sapienza                       | 11             |
| Aladdin Abbasov                   | 15             |
| Alain Bashung                     | 13             |
| Alain Benatar                     | 13             |
| Alain Dion                        | 10             |
| Alain Gendreau                    | 14             |
| Alain Paucard                     | 13             |
| Alain Riou                        | 10             |
| Alain de Botton                   | 15             |
| Alan Anderson                     | 13             |
| Alan Ardel                        | 10             |
| Alan Arkin                        | 10             |
| Alan Arkin                        | 10             |
| Alan Arnson                       | 11             |
| Alan Chan                         | 9              |
| Alan Ciangherotti                 | 17             |
| Alan Coffey                       | 11             |
| Alan Himes                        | 10             |
| Alan King                         | 9              |
| Alan King                         | 9              |
| Alan Lee                          | 8              |
| Alan Marriott                     | 13             |
| Alan McKenna                      | 12             |
| Alan Rees                         | 9              |
| Alan Ruffin                       | 11             |
| Alan Scales                       | 11             |
| Alan Scales                       | 11             |
| Alan Sklar                        | 10             |
| Alan Tudyk                        | 10             |
| Alan Westaway                     | 13             |
| Alan Young                        | 10             |
| Alana Austin                      | 12             |
| Alana Burton                      | 12             |
| Alana Campbelle                   | 15             |
| Alana Morshead                    | 14             |
| Alana Peterson                    | 14             |
| Alandra Ortis                     | 13             |
| Alanna Hanly                      | 12             |
| Alaska                            | 6              |
| Alastair Davidson                 | 17             |
| Alaudin Ullah                     | 13             |
| Alaya                             | 5              |
| Albena Stavreva                   | 15             |
| Albert Boadella                   | 15             |
| Albert Bramante                   | 15             |
| Albert Brooks                     | 13             |
| Albert Cadabra                    | 14             |
| Albert Cornelissen                | 18             |
| Albert Dupontel                   | 15             |
| Albert Jones                      | 12             |
| Albert Martinez                   | 15             |
| Albert Martinez                   | 15             |
| Albert Reiderer                   | 15             |
| Alberta Watson                    | 14             |
| Alberta Watson                    | 14             |
| Albertino                         | 9              |
| Alberto Agüero                    | 14             |
| Alberto Camerini                  | 16             |
| Alberto Caneva                    | 14             |
| Alberto Colombatto                | 18             |
| Alberto D'Angelo                  | 16             |
| Alberto Estrella                  | 16             |
| Alberto Grifi                     | 13             |
| Alberto Jiménez                   | 15             |
| Alberto Jiménez                   | 15             |
| Alberto Jiménez                   | 15             |
| Alberto Jonquière                 | 17             |
| Alberto Laiseca                   | 15             |
| Alberto Murroni                   | 15             |
| Alberto Re                        | 10             |
| Alberto San Juan                  | 16             |
| Alberto Sironi                    | 14             |
| Albiera Antinori                  | 16             |
| Albin Baray                       | 11             |
| Albin Baray                       | 11             |
| Albinas Keleris                   | 15             |
| Aldir Blanc                       | 11             |
| Aldo Baglio                       | 11             |
| Aldo Barbero                      | 12             |
| Ale van Dyk                       | 11             |
| Alec Baldwin                      | 12             |
| Alec Harkness                     | 13             |
| Alec Johnson                      | 12             |
| Alec Joseph                       | 11             |
| Alec Von Bargen                   | 15             |
| Aleck Bovick                      | 12             |
| Aleck Bovick                      | 12             |
| Alegria                           | 7              |
| Alejandra Flechner                | 18             |
| Alejandra Peniche                 | 17             |
| Alejandrina Fuentes Robles        | 26             |
| Alejandro Abellan                 | 17             |
| Alejandro Asensio                 | 17             |
| Alejandro Awada                   | 15             |
| Alejandro Awada                   | 15             |
| Alejandro Buenaventura            | 22             |
| Alejandro Canuch                  | 16             |
| Alejandro Castro                  | 16             |
| Alejandro Chabán                  | 16             |
| Alejandro Dapit                   | 15             |
| Alejandro Fernández               | 19             |
| Alejandro Fouget                  | 16             |
| Alejandro Gonzáles                | 18             |
| Alejandro Gutierrez               | 19             |
| Alejandro Monsalve Sánchez        | 26             |
| Alejandro Mora                    | 14             |
| Alejandro Nunziata                | 18             |
| Alejandro Patiño                  | 16             |
| Alejandro Russovich               | 19             |
| Alejandro Samaniego               | 19             |
| Alejandro Tommasi                 | 17             |
| Alejandro Tommasi                 | 17             |
| Alejandro Trejo                   | 15             |
| Alejandro Trejo                   | 15             |
| Alejandro Urdapilleta             | 21             |
| Alejandro Urdapilleta             | 21             |
| Alejandro Zárate Bladés           | 23             |
| Alejo Ferraroti                   | 15             |
| Alejo Godoy                       | 11             |
| Aleks Coffey                      | 12             |
| Aleks West                        | 10             |
| Aleksandr Abdulov                 | 17             |
| Aleksandr Adabashyan              | 20             |
| Aleksandr Anurov                  | 16             |
| Aleksandr Balagura                | 18             |
| Aleksandr Baluev                  | 16             |
| Aleksandr Bashirov                | 18             |
| Aleksandr Belinsky                | 18             |
| Aleksandr Dedyushko               | 19             |
| Aleksandr Galibin                 | 17             |
| Aleksandr Golovin                 | 17             |
| Aleksandr Kananovich              | 20             |
| Aleksandr Karpov                  | 16             |
| Aleksandr Kolbyshyov              | 20             |
| Aleksandr Kozlov                  | 16             |
| Aleksandr Lazarev                 | 17             |
| Aleksandr Malokanov               | 19             |
| Aleksandr Maslaev                 | 17             |
| Aleksandr Mokhov                  | 16             |
| Aleksandr Pakhomov                | 18             |
| Aleksandr Pashutin                | 18             |
| Aleksandr Plaksin                 | 17             |
| Aleksandr Samoylenko              | 20             |
| Aleksandr Tereshko                | 18             |
| Aleksandra Balmazovic             | 21             |
| Aleksandra Balmazovic             | 21             |
| Aleksandra Hodowany               | 19             |
| Aleksandra Kisio                  | 16             |
| Aleksandra Kisio                  | 16             |
| Aleksandra Nazarova               | 19             |
| Aleksandra Poplawska              | 20             |
| Aleksandra Zienkiewicz            | 22             |
| Aleksey Alekseev                  | 16             |
| Aleksey Chadov                    | 14             |
| Aleksey Chadov                    | 14             |
| Aleksey Gorbunov                  | 16             |
| Aleksey Guskov                    | 14             |
| Aleksey Ilin                      | 12             |
| Aleksey Kolgan                    | 14             |
| Aleksey Makarov                   | 15             |
| Aleksey Makarov                   | 15             |
| Aleksey Nilov                     | 13             |
| Aleksey Oshurkov                  | 16             |
| Aleksey Panin                     | 13             |
| Aleksey Panin                     | 13             |
| Aleksey Pashin                    | 14             |
| Aleksey Petrenko                  | 16             |
| Aleksey Shlyamin                  | 16             |
| Aleksey Vesyolkin                 | 17             |
| Aleksey Yakubov                   | 15             |
| Aleksey Zolotovitskiy             | 21             |
| Aleksi Rantanen                   | 15             |
| Alena Cechakova                   | 15             |
| Alena Yurchenko                   | 15             |
| Ales Valic                        | 10             |
| Alessandra Balagura               | 19             |
| Alessandra Cesana                 | 17             |
| Alessandra Costanzo               | 19             |
| Alessandra De Rossi               | 19             |
| Alessandra Lemoine                | 18             |
| Alessandra Negrini                | 18             |
| Alessandra Torresani              | 20             |
| Alessandro Aleotti                | 18             |
| Alessandro Benvenuti              | 20             |
| Alessandro Benvenuti              | 20             |
| Alessandro Bianchi                | 18             |
| Alessandro Cuomo                  | 16             |
| Alessandro Nivola                 | 17             |
| Alessandro Parronchi              | 20             |
| Alessandro Preziosi               | 19             |
| Alessandro Tiberi                 | 17             |
| Alessia Barela                    | 14             |
| Alessia Errico Piccarini          | 24             |
| Alessio Sperati                   | 15             |
| Aleua Ahmed Bani                  | 16             |
| Alex Adzioski                     | 13             |
| Alex Band                         | 9              |
| Alex Bastani                      | 12             |
| Alex Black                        | 10             |
| Alex Blias                        | 10             |
| Alex Bovicelli                    | 14             |
| Alex Brendemühl                   | 15             |
| Alex Brendemühl                   | 15             |
| Alex Burns                        | 10             |
| Alex Burns                        | 10             |
| Alex Campbell                     | 13             |
| Alex Carpenter                    | 14             |
| Alex Castillo                     | 13             |
| Alex Clark                        | 10             |
| Alex Cox                          | 8              |
| Alex Demir                        | 10             |
| Alex Descas                       | 11             |
| Alex Etel                         | 9              |
| Alex Ezpeleta                     | 13             |
| Alex Fong                         | 9              |
| Alex Fong                         | 9              |
| Alex Fong                         | 9              |
| Alex Fong                         | 9              |
| Alex Gasbarro                     | 13             |
| Alex Guzman                       | 11             |
| Alex Jennings                     | 13             |
| Alex Jones                        | 10             |
| Alex Jones                        | 10             |
| Alex K. Besley                    | 14             |
| Alex Kelly                        | 10             |
| Alex LeMay                        | 10             |
| Alex Lutz                         | 9              |
| Alex Man                          | 8              |
| Alex Mayer                        | 10             |
| Alex McArthur                     | 13             |
| Alex McGettigan                   | 15             |
| Alex O'Dogherty                   | 15             |
| Alex O'Dogherty                   | 15             |
| Alex O'Loughlin                   | 15             |
| Alex Ryan                         | 9              |
| Alex Teixeira                     | 13             |
| Alex Tsiros                       | 11             |
| Alex Van Bibber                   | 15             |
| Alex Warner                       | 11             |
| Alex Weed                         | 9              |
| Alexa Castillo                    | 14             |
| Alexa Castillo                    | 14             |
| Alexa James                       | 11             |
| Alexa PenaVega                    | 14             |
| Alexa PenaVega                    | 14             |
| Alexander Aplerku                 | 17             |
| Alexander Awasi                   | 15             |
| Alexander Beyer                   | 15             |
| Alexander Bloch                   | 15             |
| Alexander Brickel                 | 17             |
| Alexander Calzatti                | 18             |
| Alexander Carroll                 | 17             |
| Alexander Cendese                 | 17             |
| Alexander Chaplin                 | 17             |
| Alexander Cockburn                | 18             |
| Alexander Davis                   | 15             |
| Alexander Diachenko               | 19             |
| Alexander Diachenko               | 19             |
| Alexander Edtbauer                | 18             |
| Alexander Franck                  | 16             |
| Alexander Klages                  | 16             |
| Alexander Koch                    | 14             |
| Alexander Ladner                  | 16             |
| Alexander Nevsky                  | 16             |
| Alexander Rendell                 | 17             |
| Alexander Roos                    | 14             |
| Alexandra Aidini                  | 16             |
| Alexandra Beach                   | 15             |
| Alexandra Bell                    | 14             |
| Alexandra Bosquet                 | 17             |
| Alexandra Boyd                    | 14             |
| Alexandra Buckley                 | 17             |
| Alexandra Dahlström               | 19             |
| Alexandra Fowler                  | 16             |
| Alexandra Kamp                    | 14             |
| Alexandra Lencastre               | 19             |
| Alexandra Manasse                 | 17             |
| Alexandra Maria Lara              | 20             |
| Alexandra Maria Lara              | 20             |
| Alexandra Neldel                  | 16             |
| Alexandra Neldel                  | 16             |
| Alexandra Staden                  | 16             |
| Alexandre Aubry                   | 15             |
| Alexandre Belin                   | 15             |
| Alexandre Brasseur                | 18             |
| Alexandre Cottens                 | 17             |
| Alexandre Cottens                 | 17             |
| Alexandre Cross                   | 15             |
| Alexandre Levit                   | 15             |
| Alexandre Moretzsohn              | 20             |
| Alexandre da Silva                | 18             |
| Alexey A. Petrukhin               | 19             |
| Alexia Kaltsiki                   | 15             |
| Alexis Austin                     | 13             |
| Alexis Loret                      | 12             |
| Alexis Loret                      | 12             |
| Alexis Loret                      | 12             |
| Alexis Michalik                   | 15             |
| Alexis Ramirez                    | 14             |
| Alf Bicknell                      | 12             |
| Alfonso Coelho                    | 14             |
| Alfonso Madrid Jr.                | 18             |
| Alfonso Munguía                   | 15             |
| Alfonso Zayas                     | 13             |
| Alfred Coll                       | 11             |
| Alfred Eaker                      | 12             |
| Alfred Molina                     | 13             |
| Alfred Molina                     | 13             |
| Alfred Molina                     | 13             |
| Alfred Ntombela                   | 15             |
| Alfred Pitkänen                   | 15             |
| Alfredo Barrios                   | 15             |
| Alfredo Castillo                  | 16             |
| Alfredo Espinosa                  | 16             |
| Alfredo Gutiérrez                 | 17             |
| Alfredo Leon                      | 12             |
| Ali                               | 3              |
| Ali Abbasee                       | 11             |
| Ali Abolhassani                   | 15             |
| Ali Al-Gurair                     | 13             |
| Ali Alabboudi                     | 13             |
| Ali Alaei                         | 9              |
| Ali Anderson                      | 12             |
| Ali Asgar                         | 9              |
| Ali Asgar                         | 9              |
| Ali Asgar                         | 9              |
| Ali Bokaeian                      | 12             |
| Ali Boulala                       | 11             |
| Ali Dehkordi                      | 12             |
| Ali Düsenkalkar                   | 15             |
| Ali Eskandari                     | 13             |
| Ali Gitlow                        | 10             |
| Ali Güney                         | 9              |
| Ali Hassan Al-Majid               | 19             |
| Ali Hooshmand                     | 13             |
| Ali Humiston                      | 12             |
| Ali Ipin                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
| Ali Khan                          | 8              |
